armor_category,armor_class,capacity,category_range,contents,cost,damage,desc,equipment_category,gear_category,index,name,properties,quantity,range,special,speed,stealth_disadvantage,str_minimum,throw_range,tool_category,two_handed_damage,url,vehicle_category,weapon_category,weapon_range,weight
,,,,,&{[quantity unit] map[quantity:2 unit:gp]},,,&{[index name url] map[index:adventuring-gear name:Adventuring Gear url:/api/equipment-categories/adventuring-gear]},&{[index name url] map[index:standard-gear name:Standard Gear url:/api/equipment-categories/standard-gear]},barrel,Barrel,,,,,,,,,,,/api/equipment/barrel,,,,70
,,,,,&{[quantity unit] map[quantity:4 unit:sp]},,,&{[index name url] map[index:adventuring-gear name:Adventuring Gear url:/api/equipment-categories/adventuring-gear]},&{[index name url] map[index:standard-gear name:Standard Gear url:/api/equipment-categories/standard-gear]},basket,Basket,,,,,,,,,,,/api/equipment/basket,,,,2
,,,,,&{[quantity unit] map[quantity:1 unit:gp]},,,&{[index name url] map[index:adventuring-gear name:Adventuring Gear url:/api/equipment-categories/adventuring-gear]},&{[index name url] map[index:standard-gear name:Standard Gear url:/api/equipment-categories/standard-gear]},bedroll,Bedroll,,,,,,,,,,,/api/equipment/bedroll,,,,7
,,,,,&{[quantity unit] map[quantity:1 unit:gp]},,,&{[index name url] map[index:adventuring-gear name:Adventuring Gear url:/api/equipment-categories/adventuring-gear]},&{[index name url] map[index:standard-gear name:Standard Gear url:/api/equipment-categories/standard-gear]},bell,Bell,,,,,,,,,,,/api/equipment/bell,,,,0
,,,,,&{[quantity unit] map[quantity:5 unit:sp]},,,&{[index name url] map[index:adventuring-gear name:Adventuring Gear url:/api/equipment-categories/adventuring-gear]},&{[index name url] map[index:standard-gear name:Standard Gear url:/api/equipment-categories/standard-gear]},blanket,Blanket,,,,,,,,,,,/api/equipment/blanket,,,,3
,,,,,&{[quantity unit] map[quantity:1 unit:gp]},,"[A set of pulleys with a cable threaded through them and a hook to attach to objects, a block and tackle allows you to hoist up to four times the weight you can normally lift.]",&{[index name url] map[index:adventuring-gear name:Adventuring Gear url:/api/equipment-categories/adventuring-gear]},&{[index name url] map[index:standard-gear name:Standard Gear url:/api/equipment-categories/standard-gear]},block-and-tackle,Block and tackle,,,,,,,,,,,/api/equipment/block-and-tackle,,,,5
,,,,,&{[quantity unit] map[quantity:25 unit:gp]},,"[A book might contain poetry, historical accounts, information pertaining to a particular field of lore, diagrams and notes on gnomish contraptions, or just about anything else that can be represented using text or pictures. A book of spells is a spellbook (described later in this section).]",&{[index name url] map[index:adventuring-gear name:Adventuring Gear url:/api/equipment-categories/adventuring-gear]},&{[index name url] map[index:standard-gear name:Standard Gear url:/api/equipment-categories/standard-gear]},book,Book,,,,,,,,,,,/api/equipment/book,,,,5
,,,,,&{[quantity unit] map[quantity:2 unit:gp]},,,&{[index name url] map[index:adventuring-gear name:Adventuring Gear url:/api/equipment-categories/adventuring-gear]},&{[index name url] map[index:standard-gear name:Standard Gear url:/api/equipment-categories/standard-gear]},bottle-glass,"Bottle, glass",,,,,,,,,,,/api/equipment/bottle-glass,,,,2
,,,,,&{[quantity unit] map[quantity:5 unit:cp]},,,&{[index name url] map[index:adventuring-gear name:Adventuring Gear url:/api/equipment-categories/adventuring-gear]},&{[index name url] map[index:standard-gear name:Standard Gear url:/api/equipment-categories/standard-gear]},bucket,Bucket,,,,,,,,,,,/api/equipment/bucket,,,,2
,,,,,&{[quantity unit] map[quantity:5 unit:cp]},,"[As an action, you can spread a bag of caltrops to cover a square area that is 5 feet on a side. Any creature that enters the area must succeed on a DC 15 Dexterity saving throw or stop moving this turn and take 1 piercing damage. Taking this damage reduces the creature's walking speed by 10 feet until the creature regains at least 1 hit point. A creature moving through the area at half speed doesn't need to make the save.]",&{[index name url] map[index:adventuring-gear name:Adventuring Gear url:/api/equipment-categories/adventuring-gear]},&{[index name url] map[index:standard-gear name:Standard Gear url:/api/equipment-categories/standard-gear]},caltrops,Caltrops,,,,,,,,,,,/api/equipment/caltrops,,,,2
,,,,,&{[quantity unit] map[quantity:1 unit:cp]},,"[For 1 hour, a candle sheds bright light in a 5-foot radius and dim light for an additional 5 feet.]",&{[index name url] map[index:adventuring-gear name:Adventuring Gear url:/api/equipment-categories/adventuring-gear]},&{[index name url] map[index:standard-gear name:Standard Gear url:/api/equipment-categories/standard-gear]},candle,Candle,,,,,,,,,,,/api/equipment/candle,,,,0
,,,,,&{[quantity unit] map[quantity:1 unit:gp]},,[This wooden case can hold up to twenty crossbow bolts.],&{[index name url] map[index:adventuring-gear name:Adventuring Gear url:/api/equipment-categories/adventuring-gear]},&{[index name url] map[index:standard-gear name:Standard Gear url:/api/equipment-categories/standard-gear]},case-crossbow-bolt,"Case, crossbow bolt",,,,,,,,,,,/api/equipment/case-crossbow-bolt,,,,1
,,,,,&{[quantity unit] map[quantity:1 unit:gp]},,[This cylindrical leather case can hold up to ten rolled-up sheets of paper or five rolled-up sheets of parchment.],&{[index name url] map[index:adventuring-gear name:Adventuring Gear url:/api/equipment-categories/adventuring-gear]},&{[index name url] map[index:standard-gear name:Standard Gear url:/api/equipment-categories/standard-gear]},case-map-or-scroll,"Case, map or scroll",,,,,,,,,,,/api/equipment/case-map-or-scroll,,,,1
,,,,,&{[quantity unit] map[quantity:5 unit:gp]},,[A chain has 10 hit points. It can be burst with a successful DC 20 Strength check.],&{[index name url] map[index:adventuring-gear name:Adventuring Gear url:/api/equipment-categories/adventuring-gear]},&{[index name url] map[index:standard-gear name:Standard Gear url:/api/equipment-categories/standard-gear]},chain-10-feet,Chain (10 feet),,,,,,,,,,,/api/equipment/chain-10-feet,,,,10
,,,,,&{[quantity unit] map[quantity:1 unit:cp]},,,&{[index name url] map[index:adventuring-gear name:Adventuring Gear url:/api/equipment-categories/adventuring-gear]},&{[index name url] map[index:standard-gear name:Standard Gear url:/api/equipment-categories/standard-gear]},chalk-1-piece,Chalk (1 piece),,,,,,,,,,,/api/equipment/chalk-1-piece,,,,0
,,,,,&{[quantity unit] map[quantity:5 unit:gp]},,,&{[index name url] map[index:adventuring-gear name:Adventuring Gear url:/api/equipment-categories/adventuring-gear]},&{[index name url] map[index:standard-gear name:Standard Gear url:/api/equipment-categories/standard-gear]},chest,Chest,,,,,,,,,,,/api/equipment/chest,,,,25
,,,,,&{[quantity unit] map[quantity:5 unit:sp]},,,&{[index name url] map[index:adventuring-gear name:Adventuring Gear url:/api/equipment-categories/adventuring-gear]},&{[index name url] map[index:standard-gear name:Standard Gear url:/api/equipment-categories/standard-gear]},clothes-common,"Clothes, common",,,,,,,,,,,/api/equipment/clothes-common,,,,3
,,,,,&{[quantity unit] map[quantity:5 unit:gp]},,,&{[index name url] map[index:adventuring-gear name:Adventuring Gear url:/api/equipment-categories/adventuring-gear]},&{[index name url] map[index:standard-gear name:Standard Gear url:/api/equipment-categories/standard-gear]},clothes-costume,"Clothes, costume",,,,,,,,,,,/api/equipment/clothes-costume,,,,4
,,,,,&{[quantity unit] map[quantity:15 unit:gp]},,,&{[index name url] map[index:adventuring-gear name:Adventuring Gear url:/api/equipment-categories/adventuring-gear]},&{[index name url] map[index:standard-gear name:Standard Gear url:/api/equipment-categories/standard-gear]},clothes-fine,"Clothes, fine",,,,,,,,,,,/api/equipment/clothes-fine,,,,6
,,,,,&{[quantity unit] map[quantity:2 unit:gp]},,,&{[index name url] map[index:adventuring-gear name:Adventuring Gear url:/api/equipment-categories/adventuring-gear]},&{[index name url] map[index:standard-gear name:Standard Gear url:/api/equipment-categories/standard-gear]},clothes-travelers,"Clothes, traveler's",,,,,,,,,,,/api/equipment/clothes-travelers,,,,4
,,,,,&{[quantity unit] map[quantity:25 unit:gp]},,"[A component pouch is a small, watertight leather belt pouch that has compartments to hold all the material components and other special items you need to cast your spells, except for those components that have a specific cost (as indicated in a spell's description).]",&{[index name url] map[index:adventuring-gear name:Adventuring Gear url:/api/equipment-categories/adventuring-gear]},&{[index name url] map[index:standard-gear name:Standard Gear url:/api/equipment-categories/standard-gear]},component-pouch,Component pouch,,,,,,,,,,,/api/equipment/component-pouch,,,,2
,,,,,&{[quantity unit] map[quantity:2 unit:gp]},,[Using a crowbar grants advantage to Strength checks where the crowbar's leverage can be applied.],&{[index name url] map[index:adventuring-gear name:Adventuring Gear url:/api/equipment-categories/adventuring-gear]},&{[index name url] map[index:standard-gear name:Standard Gear url:/api/equipment-categories/standard-gear]},crowbar,Crowbar,,,,,,,,,,,/api/equipment/crowbar,,,,5
,,,,,&{[quantity unit] map[quantity:1 unit:gp]},,"[A druidic focus might be a sprig of mistletoe or holly, a wand or scepter made of yew or another special wood, a staff drawn whole out of a living tree, or a totem object incorporating feathers, fur, bones, and teeth from sacred animals. A druid can use such an object as a spellcasting focus.]",&{[index name url] map[index:adventuring-gear name:Adventuring Gear url:/api/equipment-categories/adventuring-gear]},&{[index name url] map[index:druidic-foci name:Druidic Foci url:/api/equipment-categories/druidic-foci]},sprig-of-mistletoe,Sprig of mistletoe,,,,,,,,,,,/api/equipment/sprig-of-mistletoe,,,,0
,,,,,&{[quantity unit] map[quantity:1 unit:gp]},,"[A druidic focus might be a sprig of mistletoe or holly, a wand or scepter made of yew or another special wood, a staff drawn whole out of a living tree, or a totem object incorporating feathers, fur, bones, and teeth from sacred animals. A druid can use such an object as a spellcasting focus.]",&{[index name url] map[index:adventuring-gear name:Adventuring Gear url:/api/equipment-categories/adventuring-gear]},&{[index name url] map[index:druidic-foci name:Druidic Foci url:/api/equipment-categories/druidic-foci]},totem,Totem,,,,,,,,,,,/api/equipment/totem,,,,0
,,,,,&{[quantity unit] map[quantity:5 unit:gp]},,"[A druidic focus might be a sprig of mistletoe or holly, a wand or scepter made of yew or another special wood, a staff drawn whole out of a living tree, or a totem object incorporating feathers, fur, bones, and teeth from sacred animals. A druid can use such an object as a spellcasting focus.]",&{[index name url] map[index:adventuring-gear name:Adventuring Gear url:/api/equipment-categories/adventuring-gear]},&{[index name url] map[index:druidic-foci name:Druidic Foci url:/api/equipment-categories/druidic-foci]},wooden-staff,Wooden staff,,,,,,,,,,,/api/equipment/wooden-staff,,,,4
,,,,,&{[quantity unit] map[quantity:10 unit:gp]},,"[A druidic focus might be a sprig of mistletoe or holly, a wand or scepter made of yew or another special wood, a staff drawn whole out of a living tree, or a totem object incorporating feathers, fur, bones, and teeth from sacred animals. A druid can use such an object as a spellcasting focus.]",&{[index name url] map[index:adventuring-gear name:Adventuring Gear url:/api/equipment-categories/adventuring-gear]},&{[index name url] map[index:druidic-foci name:Druidic Foci url:/api/equipment-categories/druidic-foci]},yew-wand,Yew wand,,,,,,,,,,,/api/equipment/yew-wand,,,,1
,,,,,&{[quantity unit] map[quantity:5 unit:gp]},,"[A holy symbol is a representation of a god or pantheon. It might be an amulet depicting a symbol representing a deity, the same symbol carefully engraved or inlaid as an emblem on a shield, or a tiny box holding a fragment of a sacred relic. Appendix B lists the symbols commonly associated with many gods in the multiverse. A cleric or paladin can use a holy symbol as a spellcasting focus. To use the symbol in this way, the caster must hold it in hand, wear it visibly, or bear it on a shield.]",&{[index name url] map[index:adventuring-gear name:Adventuring Gear url:/api/equipment-categories/adventuring-gear]},&{[index name url] map[index:holy-symbols name:Holy Symbols url:/api/equipment-categories/holy-symbols]},emblem,Emblem,,,,,,,,,,,/api/equipment/emblem,,,,0
,,,,,&{[quantity unit] map[quantity:1 unit:gp]},,"[This kit includes a wooden rod, silken line, corkwood bobbers, steel hooks, lead sinkers, velvet lures, and narrow netting.]",&{[index name url] map[index:adventuring-gear name:Adventuring Gear url:/api/equipment-categories/adventuring-gear]},&{[index name url] map[index:standard-gear name:Standard Gear url:/api/equipment-categories/standard-gear]},fishing-tackle,Fishing tackle,,,,,,,,,,,/api/equipment/fishing-tackle,,,,4
,,,,,&{[quantity unit] map[quantity:2 unit:cp]},,,&{[index name url] map[index:adventuring-gear name:Adventuring Gear url:/api/equipment-categories/adventuring-gear]},&{[index name url] map[index:standard-gear name:Standard Gear url:/api/equipment-categories/standard-gear]},flask-or-tankard,Flask or tankard,,,,,,,,,,,/api/equipment/flask-or-tankard,,,,1
,,,,,&{[quantity unit] map[quantity:2 unit:gp]},,,&{[index name url] map[index:adventuring-gear name:Adventuring Gear url:/api/equipment-categories/adventuring-gear]},&{[index name url] map[index:standard-gear name:Standard Gear url:/api/equipment-categories/standard-gear]},grappling-hook,Grappling hook,,,,,,,,,,,/api/equipment/grappling-hook,,,,4
,,,,,&{[quantity unit] map[quantity:1 unit:gp]},,,&{[index name url] map[index:adventuring-gear name:Adventuring Gear url:/api/equipment-categories/adventuring-gear]},&{[index name url] map[index:standard-gear name:Standard Gear url:/api/equipment-categories/standard-gear]},hammer,Hammer,,,,,,,,,,,/api/equipment/hammer,,,,3
,,,,,&{[quantity unit] map[quantity:2 unit:gp]},,,&{[index name url] map[index:adventuring-gear name:Adventuring Gear url:/api/equipment-categories/adventuring-gear]},&{[index name url] map[index:standard-gear name:Standard Gear url:/api/equipment-categories/standard-gear]},hammer-sledge,"Hammer, sledge",,,,,,,,,,,/api/equipment/hammer-sledge,,,,10
,,,,,&{[quantity unit] map[quantity:25 unit:gp]},,"[As an action, you can splash the contents of this flask onto a creature within 5 feet of you or throw it up to 20 feet, shattering it on impact. In either case, make a ranged attack against a target creature, treating the holy water as an improvised weapon. If the target is a fiend or undead, it takes 2d6 radiant damage. A cleric or paladin may create holy water by performing a special ritual. The ritual takes 1 hour to perform, uses 25 gp worth of powdered silver, and requires the caster to expend a 1st-level spell slot.]",&{[index name url] map[index:adventuring-gear name:Adventuring Gear url:/api/equipment-categories/adventuring-gear]},&{[index name url] map[index:standard-gear name:Standard Gear url:/api/equipment-categories/standard-gear]},holy-water-flask,Holy water (flask),,,,,,,,,,,/api/equipment/holy-water-flask,,,,1
,,,,,&{[quantity unit] map[quantity:25 unit:gp]},,,&{[index name url] map[index:adventuring-gear name:Adventuring Gear url:/api/equipment-categories/adventuring-gear]},&{[index name url] map[index:standard-gear name:Standard Gear url:/api/equipment-categories/standard-gear]},hourglass,Hourglass,,,,,,,,,,,/api/equipment/hourglass,,,,1
,,,,,&{[quantity unit] map[quantity:5 unit:gp]},,"[When you use your action to set it, this trap forms a saw-toothed steel ring that snaps shut when a creature steps on a pressure plate in the center. The trap is affixed by a heavy chain to an immobile object, such as a tree or a spike driven into the ground. A creature that steps on the plate must succeed on a DC 13 Dexterity saving throw or take 1d4 piercing damage and stop moving. Thereafter, until the creature breaks free of the trap, its movement is limited by the length of the chain (typically 3 feet long). A creature can use its action to make a DC 13 Strength check, freeing itself or another creature within its reach on a success. Each failed check deals 1 piercing damage to the trapped creature.]",&{[index name url] map[index:adventuring-gear name:Adventuring Gear url:/api/equipment-categories/adventuring-gear]},&{[index name url] map[index:standard-gear name:Standard Gear url:/api/equipment-categories/standard-gear]},hunting-trap,Hunting trap,,,,,,,,,,,/api/equipment/hunting-trap,,,,25
,,,,,&{[quantity unit] map[quantity:10 unit:gp]},,,&{[index name url] map[index:adventuring-gear name:Adventuring Gear url:/api/equipment-categories/adventuring-gear]},&{[index name url] map[index:standard-gear name:Standard Gear url:/api/equipment-categories/standard-gear]},ink-1-ounce-bottle,Ink (1 ounce bottle),,,,,,,,,,,/api/equipment/ink-1-ounce-bottle,,,,0
,,,,,&{[quantity unit] map[quantity:2 unit:cp]},,,&{[index name url] map[index:adventuring-gear name:Adventuring Gear url:/api/equipment-categories/adventuring-gear]},&{[index name url] map[index:standard-gear name:Standard Gear url:/api/equipment-categories/standard-gear]},ink-pen,Ink pen,,,,,,,,,,,/api/equipment/ink-pen,,,,0
,,,,,&{[quantity unit] map[quantity:2 unit:cp]},,,&{[index name url] map[index:adventuring-gear name:Adventuring Gear url:/api/equipment-categories/adventuring-gear]},&{[index name url] map[index:standard-gear name:Standard Gear url:/api/equipment-categories/standard-gear]},jug-or-pitcher,Jug or pitcher,,,,,,,,,,,/api/equipment/jug-or-pitcher,,,,4
,,,,,&{[quantity unit] map[quantity:25 unit:gp]},,"[A climber's kit includes special pitons, boot tips, gloves, and a harness. You can use the climber's kit as an action to anchor yourself; when you do, you can't fall more than 25 feet from the point where you anchored yourself, and you can't climb more than 25 feet away from that point without undoing the anchor.]",&{[index name url] map[index:adventuring-gear name:Adventuring Gear url:/api/equipment-categories/adventuring-gear]},&{[index name url] map[index:kits name:Kits url:/api/equipment-categories/kits]},climbers-kit,Climber's Kit,,,,,,,,,,,/api/equipment/climbers-kit,,,,12
,,,,,&{[quantity unit] map[quantity:25 unit:gp]},,"[This pouch of cosmetics, hair dye, and small props lets you create disguises that change your physical appearance. Proficiency with this kit lets you add your proficiency bonus to any ability checks you make to create a visual disguise.]",&{[index name url] map[index:adventuring-gear name:Adventuring Gear url:/api/equipment-categories/adventuring-gear]},&{[index name url] map[index:kits name:Kits url:/api/equipment-categories/kits]},disguise-kit,Disguise Kit,,,,,,,,,,,/api/equipment/disguise-kit,,,,3
,,,,,&{[quantity unit] map[quantity:15 unit:gp]},,"[This small box contains a variety of papers and parchments, pens and inks, seals and sealing wax, gold and silver leaf, and other supplies necessary to create convincing forgeries of physical documents. Proficiency with this kit lets you add your proficiency bonus to any ability checks you make to create a physical forgery of a document.]",&{[index name url] map[index:adventuring-gear name:Adventuring Gear url:/api/equipment-categories/adventuring-gear]},&{[index name url] map[index:kits name:Kits url:/api/equipment-categories/kits]},forgery-kit,Forgery Kit,,,,,,,,,,,/api/equipment/forgery-kit,,,,5
,,,,,&{[quantity unit] map[quantity:5 unit:gp]},,"[This kit contains a variety of instruments such as clippers, mortar and pestle, and pouches and vials used by herbalists to create remedies and potions. Proficiency with this kit lets you add your proficiency bonus to any ability checks you make to identify or apply herbs. Also, proficiency with this kit is required to create antitoxin and potions of healing.]",&{[index name url] map[index:adventuring-gear name:Adventuring Gear url:/api/equipment-categories/adventuring-gear]},&{[index name url] map[index:kits name:Kits url:/api/equipment-categories/kits]},herbalism-kit,Herbalism Kit,,,,,,,,,,,/api/equipment/herbalism-kit,,,,3
,,,,,&{[quantity unit] map[quantity:5 unit:gp]},,"[This kit is a leather pouch containing bandages, salves, and splints. The kit has ten uses. As an action, you can expend one use of the kit to stabilize a creature that has 0 hit points, without needing to make a Wisdom (Medicine) check.]",&{[index name url] map[index:adventuring-gear name:Adventuring Gear url:/api/equipment-categories/adventuring-gear]},&{[index name url] map[index:kits name:Kits url:/api/equipment-categories/kits]},healers-kit,Healer's Kit,,,,,,,,,,,/api/equipment/healers-kit,,,,3
,,,,,&{[quantity unit] map[quantity:2 unit:sp]},,"[This tin box contains a cup and simple cutlery. The box clamps together, and one side can be used as a cooking pan and the other as a plate or shallow bowl.]",&{[index name url] map[index:adventuring-gear name:Adventuring Gear url:/api/equipment-categories/adventuring-gear]},&{[index name url] map[index:kits name:Kits url:/api/equipment-categories/kits]},mess-kit,Mess Kit,,,,,,,,,,,/api/equipment/mess-kit,,,,1
,,,,,&{[quantity unit] map[quantity:50 unit:gp]},,"[A poisoner's kit includes the vials, chemicals, and other equipment necessary for the creation of poisons. Proficiency with this kit lets you add your proficiency bonus to any ability checks you make to craft or use poisons.]",&{[index name url] map[index:adventuring-gear name:Adventuring Gear url:/api/equipment-categories/adventuring-gear]},&{[index name url] map[index:kits name:Kits url:/api/equipment-categories/kits]},poisoners-kit,Poisoner's Kit,,,,,,,,,,,/api/equipment/poisoners-kit,,,,2
,,,,,&{[quantity unit] map[quantity:1 unit:sp]},,,&{[index name url] map[index:adventuring-gear name:Adventuring Gear url:/api/equipment-categories/adventuring-gear]},&{[index name url] map[index:standard-gear name:Standard Gear url:/api/equipment-categories/standard-gear]},ladder-10-foot,Ladder (10-foot),,,,,,,,,,,/api/equipment/ladder-10-foot,,,,25
,,,,,&{[quantity unit] map[quantity:5 unit:sp]},,"[A lamp casts bright light in a 15-foot radius and dim light for an additional 30 feet. Once lit, it burns for 6 hours on a flask (1 pint) of oil.]",&{[index name url] map[index:adventuring-gear name:Adventuring Gear url:/api/equipment-categories/adventuring-gear]},&{[index name url] map[index:standard-gear name:Standard Gear url:/api/equipment-categories/standard-gear]},lamp,Lamp,,,,,,,,,,,/api/equipment/lamp,,,,1
,,,,,&{[quantity unit] map[quantity:10 unit:gp]},,"[A bullseye lantern casts bright light in a 60-foot cone and dim light for an additional 60 feet. Once lit, it burns for 6 hours on a flask (1 pint) of oil.]",&{[index name url] map[index:adventuring-gear name:Adventuring Gear url:/api/equipment-categories/adventuring-gear]},&{[index name url] map[index:standard-gear name:Standard Gear url:/api/equipment-categories/standard-gear]},lantern-bullseye,"Lantern, bullseye",,,,,,,,,,,/api/equipment/lantern-bullseye,,,,2
,,,,,&{[quantity unit] map[quantity:5 unit:gp]},,"[A hooded lantern casts bright light in a 30-foot radius and dim light for an additional 30 feet. Once lit, it burns for 6 hours on a flask (1 pint) of oil. As an action, you can lower the hood, reducing the light to dim light in a 5-foot radius.]",&{[index name url] map[index:adventuring-gear name:Adventuring Gear url:/api/equipment-categories/adventuring-gear]},&{[index name url] map[index:standard-gear name:Standard Gear url:/api/equipment-categories/standard-gear]},lantern-hooded,"Lantern, hooded",,,,,,,,,,,/api/equipment/lantern-hooded,,,,2
,,,,,&{[quantity unit] map[quantity:0 unit:cp]},,"[A small bag of sand, typically found in a scholar's pack.]",&{[index name url] map[index:adventuring-gear name:Adventuring Gear url:/api/equipment-categories/adventuring-gear]},&{[index name url] map[index:standard-gear name:Standard Gear url:/api/equipment-categories/standard-gear]},little-bag-of-sand,Little bag of sand,,,,,,,,,,,/api/equipment/little-bag-of-sand,,,,0
,,,,,&{[quantity unit] map[quantity:10 unit:gp]},,"[A key is provided with the lock. Without the key, a creature proficient with thieves' tools can pick this lock with a successful DC 15 Dexterity check. Your GM may decide that better locks are available for higher prices.]",&{[index name url] map[index:adventuring-gear name:Adventuring Gear url:/api/equipment-categories/adventuring-gear]},&{[index name url] map[index:standard-gear name:Standard Gear url:/api/equipment-categories/standard-gear]},lock,Lock,,,,,,,,,,,/api/equipment/lock,,,,1
,,,,,&{[quantity unit] map[quantity:100 unit:gp]},,"[This lens allows a closer look at small objects. It is also useful as a substitute for flint and steel when starting fires. Lighting a fire with a magnifying glass requires light as bright as sunlight to focus, tinder to ignite, and about 5 minutes for the fire to ignite. A magnifying glass grants advantage on any ability check made to appraise or inspect an item that is small or highly detailed.]",&{[index name url] map[index:adventuring-gear name:Adventuring Gear url:/api/equipment-categories/adventuring-gear]},&{[index name url] map[index:standard-gear name:Standard Gear url:/api/equipment-categories/standard-gear]},magnifying-glass,Magnifying glass,,,,,,,,,,,/api/equipment/magnifying-glass,,,,0
,,,,,&{[quantity unit] map[quantity:2 unit:gp]},,"[These metal restraints can bind a Small or Medium creature. Escaping the manacles requires a successful DC 20 Dexterity check. Breaking them requires a successful DC 20 Strength check. Each set of manacles comes with one key. Without the key, a creature proficient with thieves' tools can pick the manacles' lock with a successful DC 15 Dexterity check. Manacles have 15 hit points.]",&{[index name url] map[index:adventuring-gear name:Adventuring Gear url:/api/equipment-categories/adventuring-gear]},&{[index name url] map[index:standard-gear name:Standard Gear url:/api/equipment-categories/standard-gear]},manacles,Manacles,,,,,,,,,,,/api/equipment/manacles,,,,6
,,,,,&{[quantity unit] map[quantity:5 unit:gp]},,,&{[index name url] map[index:adventuring-gear name:Adventuring Gear url:/api/equipment-categories/adventuring-gear]},&{[index name url] map[index:standard-gear name:Standard Gear url:/api/equipment-categories/standard-gear]},mirror-steel,"Mirror, steel",,,,,,,,,,,/api/equipment/mirror-steel,,,,0.500000
,,,,,&{[quantity unit] map[quantity:1 unit:sp]},,"[Oil usually comes in a clay flask that holds 1 pint. As an action, you can splash the oil in this flask onto a creature within 5 feet of you or throw it up to 20 feet, shattering it on impact. Make a ranged attack against a target creature or object, treating the oil as an improvised weapon. On a hit, the target is covered in oil. If the target takes any fire damage before the oil dries (after 1 minute), the target takes an additional 5 fire damage from the burning oil. You can also pour a flask of oil on the ground to cover a 5-foot-square area, provided that the surface is level. If lit, the oil burns for 2 rounds and deals 5 fire damage to any creature that enters the area or ends its turn in the area. A creature can take this damage only once per turn.]",&{[index name url] map[index:adventuring-gear name:Adventuring Gear url:/api/equipment-categories/adventuring-gear]},&{[index name url] map[index:standard-gear name:Standard Gear url:/api/equipment-categories/standard-gear]},oil-flask,Oil (flask),,,,,,,,,,,/api/equipment/oil-flask,,,,1
,,,,,&{[quantity unit] map[quantity:2 unit:sp]},,,&{[index name url] map[index:adventuring-gear name:Adventuring Gear url:/api/equipment-categories/adventuring-gear]},&{[index name url] map[index:standard-gear name:Standard Gear url:/api/equipment-categories/standard-gear]},paper-one-sheet,Paper (one sheet),,,,,,,,,,,/api/equipment/paper-one-sheet,,,,0
,,,,,&{[quantity unit] map[quantity:1 unit:sp]},,,&{[index name url] map[index:adventuring-gear name:Adventuring Gear url:/api/equipment-categories/adventuring-gear]},&{[index name url] map[index:standard-gear name:Standard Gear url:/api/equipment-categories/standard-gear]},parchment-one-sheet,Parchment (one sheet),,,,,,,,,,,/api/equipment/parchment-one-sheet,,,,0
,,,,,&{[quantity unit] map[quantity:5 unit:gp]},,,&{[index name url] map[index:adventuring-gear name:Adventuring Gear url:/api/equipment-categories/adventuring-gear]},&{[index name url] map[index:standard-gear name:Standard Gear url:/api/equipment-categories/standard-gear]},perfume-vial,Perfume (vial),,,,,,,,,,,/api/equipment/perfume-vial,,,,0
,,,,,&{[quantity unit] map[quantity:2 unit:gp]},,,&{[index name url] map[index:adventuring-gear name:Adventuring Gear url:/api/equipment-categories/adventuring-gear]},&{[index name url] map[index:standard-gear name:Standard Gear url:/api/equipment-categories/standard-gear]},pick-miners,"Pick, miner's",,,,,,,,,,,/api/equipment/pick-miners,,,,10
,,,,,&{[quantity unit] map[quantity:5 unit:cp]},,,&{[index name url] map[index:adventuring-gear name:Adventuring Gear url:/api/equipment-categories/adventuring-gear]},&{[index name url] map[index:standard-gear name:Standard Gear url:/api/equipment-categories/standard-gear]},piton,Piton,,,,,,,,,,,/api/equipment/piton,,,,0.250000
,,,,,&{[quantity unit] map[quantity:100 unit:gp]},,"[You can use the poison in this vial to coat one slashing or piercing weapon or up to three pieces of ammunition. Applying the poison takes an action. A creature hit by the poisoned weapon or ammunition must make a DC 10 Constitution saving throw or take 1d4 poison damage. Once applied, the poison retains potency for 1 minute before drying.]",&{[index name url] map[index:adventuring-gear name:Adventuring Gear url:/api/equipment-categories/adventuring-gear]},&{[index name url] map[index:standard-gear name:Standard Gear url:/api/equipment-categories/standard-gear]},poison-basic-vial,"Poison, basic (vial)",,,,,,,,,,,/api/equipment/poison-basic-vial,,,,0
,,,,,&{[quantity unit] map[quantity:5 unit:cp]},,,&{[index name url] map[index:adventuring-gear name:Adventuring Gear url:/api/equipment-categories/adventuring-gear]},&{[index name url] map[index:standard-gear name:Standard Gear url:/api/equipment-categories/standard-gear]},pole-10-foot,Pole (10-foot),,,,,,,,,,,/api/equipment/pole-10-foot,,,,7
,,,,,&{[quantity unit] map[quantity:2 unit:gp]},,,&{[index name url] map[index:adventuring-gear name:Adventuring Gear url:/api/equipment-categories/adventuring-gear]},&{[index name url] map[index:standard-gear name:Standard Gear url:/api/equipment-categories/standard-gear]},pot-iron,"Pot, iron",,,,,,,,,,,/api/equipment/pot-iron,,,,10
,,,,,&{[quantity unit] map[quantity:5 unit:sp]},,"[A cloth or leather pouch can hold up to 20 sling bullets or 50 blowgun needles, among other things. A compartmentalized pouch for holding spell components is called a component pouch (described earlier in this section).]",&{[index name url] map[index:adventuring-gear name:Adventuring Gear url:/api/equipment-categories/adventuring-gear]},&{[index name url] map[index:standard-gear name:Standard Gear url:/api/equipment-categories/standard-gear]},pouch,Pouch,,,,,,,,,,,/api/equipment/pouch,,,,1
