actions,alignment,armor_class,challenge_rating,charisma,condition_immunities,constitution,damage_immunities,damage_resistances,damage_vulnerabilities,desc,dexterity,forms,hit_dice,hit_points,hit_points_roll,image,index,intelligence,languages,legendary_actions,name,proficiencies,proficiency_bonus,reactions,senses,size,special_abilities,speed,strength,subtype,type,url,wisdom,xp
[0x14000488520 0x140004887c0 0x140004889c0 0x14000488e20 0x140004892a0],neutral evil,[0x140002bff60],11,12,[],18,[lightning],[],[],,16,,16d12,168,16d12+64,,behir,7,Draconic,,Behir,[0x14000488180 0x14000488320],4,,&{[darkvision passive_perception] map[darkvision:90 ft. passive_perception:16]},Huge,,&{[walk climb] map[climb:40 ft. walk:50 ft.]},23,,monstrosity,/api/monsters/behir,14,7200
[0x140004897a0],any chaotic alignment,[0x14000489540],2,9,[],17,[],[],[],,12,,9d8,67,9d8+27,,berserker,9,any one language (usually Common),,Berserker,[],2,,&{[passive_perception] map[passive_perception:10]},Medium,[0x14000489720],&{[walk] map[walk:30 ft.]},16,any race,humanoid,/api/monsters/berserker,11,450
[0x14000489d60 0x140000a2120 0x140000a23e0],unaligned,[0x14000489aa0],0.500000,7,[],14,[],[],[],,10,,3d8,19,3d8+6,/api/images/monsters/black-bear.png,black-bear,2,,,Black Bear,[],2,,&{[passive_perception] map[passive_perception:13]},Medium,[0x14000489cc0],&{[walk climb] map[climb:30 ft. walk:40 ft.]},15,,beast,/api/monsters/black-bear,12,100
[0x140000a3240 0x140000a3580],chaotic evil,[0x140000a2640],2,13,[],13,[acid],[],[],,14,,6d8,33,6d8+6,/api/images/monsters/black-dragon-wyrmling.png,black-dragon-wyrmling,10,Draconic,,Black Dragon Wyrmling,[0x140000a27c0 0x140000a28e0 0x140000a2a40 0x140000a2b80 0x140000a2d20 0x140000a2ec0],2,,&{[blindsight darkvision passive_perception] map[blindsight:10 ft. darkvision:60 ft. passive_perception:14]},Medium,[0x140000a3160],&{[walk fly swim] map[fly:60 ft. swim:30 ft. walk:30 ft.]},15,,dragon,/api/monsters/black-dragon-wyrmling,11,450
[0x140002db1a0],unaligned,[0x140000a3a00],4,1,[0x140000a3c00 0x140000a3ce0 0x140000a3e00 0x140000a3ee0 0x140002da220],16,[acid cold lightning slashing],[],[],,5,,10d10,85,10d10+30,/api/images/monsters/black-pudding.png,black-pudding,1,,,Black Pudding,[],2,[0x140002dbd00],&{[blindsight passive_perception] map[blindsight:60 ft. (blind beyond this radius) passive_perception:8]},Large,[0x140002da880 0x140002dab40 0x140002db080],&{[walk climb] map[climb:20 ft. walk:20 ft.]},16,,ooze,/api/monsters/black-pudding,6,1100
[0x140005126c0 0x14000512980],lawful good,[0x14000512040],0.250000,11,[],12,[],[],[],"A blink dog takes its name from its ability to blink in and out of existence, a talent it uses to aid its attacks and to avoid harm.",17,,4d8,22,4d8+4,/api/images/monsters/blink-dog.png,blink-dog,10,"Blink Dog, understands Sylvan but can't speak it",,Blink Dog,[0x140005121c0 0x14000512320],2,,&{[passive_perception] map[passive_perception:10]},Medium,[0x140005125a0],&{[walk] map[walk:40 ft.]},12,,fey,/api/monsters/blink-dog,13,50
[0x14000513040],unaligned,[0x14000512b80],0.125000,5,[],10,[],[],[],"Taking its name from its crimson feathers and aggressive nature, the blood hawk fearlessly attacks almost any animal, stabbing it with its daggerlike beak. Blood hawks flock together in large numbers, attacking as a pack to take down prey.",14,,2d6,7,2d6,/api/images/monsters/blood-hawk.png,blood-hawk,3,,,Blood Hawk,[0x14000512ce0],2,,&{[passive_perception] map[passive_perception:14]},Small,[0x14000512e60 0x14000512f00],&{[walk fly] map[fly:60 ft. walk:10 ft.]},6,,beast,/api/monsters/blood-hawk,14,25
[0x14000513de0 0x1400015c3a0],lawful evil,[0x14000513320],3,15,[],15,[lightning],[],[],,10,,8d8,52,8d8+16,/api/images/monsters/blue-dragon-wyrmling.png,blue-dragon-wyrmling,12,Draconic,,Blue Dragon Wyrmling,[0x140005134e0 0x14000513680 0x140005137a0 0x14000513920 0x14000513aa0 0x14000513ba0],2,,&{[blindsight darkvision passive_perception] map[blindsight:10 ft. darkvision:60 ft. passive_perception:14]},Medium,,&{[walk burrow fly] map[burrow:15 ft. fly:60 ft. walk:30 ft.]},17,,dragon,/api/monsters/blue-dragon-wyrmling,11,700
[0x1400015cf00],unaligned,[0x1400015c940],0.250000,5,[],12,[],[],[],,11,,2d8,11,2d8+2,/api/images/monsters/boar.png,boar,2,,,Boar,[],2,,&{[passive_perception] map[passive_perception:9]},Medium,[0x1400015ca80 0x1400015cc80],&{[walk] map[walk:40 ft.]},13,,beast,/api/monsters/boar,9,50
[0x140001de080 0x140001de300 0x140001de540],lawful evil,[0x1400015d220],9,16,[0x1400015dd00],18,[fire poison],"[cold bludgeoning, piercing, and slashing from nonmagical weapons that aren't silvered]",[],,16,,15d10,142,15d10+60,/api/images/monsters/bone-devil.png,bone-devil,13,"Infernal, telepathy 120 ft.",,Bone Devil,[0x1400015d440 0x1400015d600 0x1400015d7c0 0x1400015d960 0x1400015daa0],4,,&{[darkvision passive_perception] map[darkvision:120 ft. passive_perception:12]},Large,[0x1400015de40 0x1400015df40],&{[walk fly] map[fly:40 ft. walk:40 ft.]},18,devil,fiend,/api/monsters/bone-devil,14,5000
[0x140001df720 0x140001df960],chaotic good,[0x140001deb60],1,13,[],13,[fire],[],[],,10,,3d8,16,3d8+3,/api/images/monsters/brass-dragon-wyrmling.png,brass-dragon-wyrmling,10,Draconic,,Brass Dragon Wyrmling,[0x140001dec80 0x140001dee00 0x140001defa0 0x140001df0a0 0x140001df280 0x140001df440],2,,&{[blindsight darkvision passive_perception] map[blindsight:10 ft. darkvision:60 ft. passive_perception:14]},Medium,,&{[walk burrow fly] map[burrow:15 ft. fly:60 ft. walk:30 ft.]},15,,dragon,/api/monsters/brass-dragon-wyrmling,11,100
[0x140001fd0e0 0x140001fd3e0],lawful good,[0x140001fc4a0],2,15,[],15,[lightning],[],[],,10,,5d8,32,5d8+10,/api/images/monsters/bronze-dragon-wyrmling.png,bronze-dragon-wyrmling,12,Draconic,,Bronze Dragon Wyrmling,[0x140001fc6c0 0x140001fc8a0 0x140001fca00 0x140001fcb40 0x140001fcd20 0x140001fce60],2,,&{[blindsight darkvision passive_perception] map[blindsight:10 ft. darkvision:60 ft. passive_perception:14]},Medium,[0x140001fd040],&{[walk fly swim] map[fly:60 ft. swim:30 ft. walk:30 ft.]},17,,dragon,/api/monsters/bronze-dragon-wyrmling,11,450
[0x1400021a500 0x1400021a7a0 0x1400021aae0],unaligned,[0x1400021a020],1,7,[],16,[],[],[],,10,,4d10,34,4d10+12,/api/images/monsters/brown-bear.png,brown-bear,2,,,Brown Bear,[0x1400021a180],2,,&{[passive_perception] map[passive_perception:13]},Large,[0x1400021a440],&{[walk climb] map[climb:30 ft. walk:40 ft.]},19,,beast,/api/monsters/brown-bear,13,200
[0x1400021b620 0x1400021b920],chaotic evil,[0x1400021ad20],1,9,[],13,[],[],[],,14,,5d8,27,5d8+5,/api/images/monsters/bugbear.png,bugbear,8,"Common, Goblin",,Bugbear,[0x1400021afe0 0x1400021b140],2,,&{[darkvision passive_perception] map[darkvision:60 ft. passive_perception:10]},Medium,[0x1400021b460 0x1400021b4e0],&{[walk] map[walk:30 ft.]},15,goblinoid,humanoid,/api/monsters/bugbear,11,200
[0x14000246240 0x14000246440],unaligned,[0x1400021bd40],5,5,[],21,[],[],[],,11,,9d10,94,9d10+45,,bulette,2,,,Bulette,[0x1400021bea0],3,,&{[darkvision tremorsense passive_perception] map[darkvision:60 ft. passive_perception:16 tremorsense:60 ft.]},Large,[0x140002461c0],&{[walk burrow] map[burrow:40 ft. walk:40 ft.]},19,,monstrosity,/api/monsters/bulette,10,1800
[0x14000246820],unaligned,[0x140002466c0],0.125000,5,[],14,[],[],[],,8,,2d10,15,2d10+4,/api/images/monsters/camel.png,camel,2,,,Camel,[],2,,&{[passive_perception] map[passive_perception:9]},Large,,&{[walk] map[walk:50 ft.]},16,,beast,/api/monsters/camel,8,25
[0x14000247240],unaligned,[0x14000246c00],0,7,[],10,[],[],[],,15,,1d4,2,1d4,,cat,3,,,Cat,[0x14000246e00 0x14000246fc0],2,,&{[passive_perception] map[passive_perception:13]},Tiny,[0x140002471a0],&{[walk climb] map[climb:30 ft. walk:40 ft.]},3,,beast,/api/monsters/cat,12,10
[0x14000247e80 0x140002604a0 0x140002607c0 0x14000260b80],neutral good,[0x140002474c0],2,11,[],14,[],[],[],,14,,6d10,45,6d10+12,,centaur,9,"Elvish, Sylvan",,Centaur,[0x140002475c0 0x14000247780 0x14000247a40],2,,&{[passive_perception] map[passive_perception:13]},Large,[0x14000247c80],&{[walk] map[walk:50 ft.]},18,,monstrosity,/api/monsters/centaur,13,450
[0x14000261900 0x14000261ae0 0x14000261e60],lawful evil,[0x14000260f00],8,14,[0x14000261500],18,[fire poison],"[cold bludgeoning, piercing, and slashing from nonmagical weapons that aren't silvered]",[],,15,,10d8,85,10d8+40,/api/images/monsters/chain-devil.png,chain-devil,11,"Infernal, telepathy 120 ft.",,Chain Devil,[0x14000260fa0 0x14000261120 0x14000261300],3,[0x140002860c0],&{[darkvision passive_perception] map[darkvision:120 ft. passive_perception:11]},Medium,[0x14000261680 0x14000261800],&{[walk] map[walk:30 ft.]},18,devil,fiend,/api/monsters/chain-devil,12,3900
[0x140002867a0 0x140002874c0 0x140002876e0 0x14000287940 0x14000287c40],chaotic evil,[0x14000286400],6,10,[],19,[],[],[],,11,,12d10,114,12d10+48,,chimera,3,understands Draconic but can't speak,,Chimera,[0x14000286560],3,,&{[darkvision passive_perception] map[darkvision:60 ft. passive_perception:18]},Large,,&{[walk fly] map[fly:60 ft. walk:30 ft.]},19,,monstrosity,/api/monsters/chimera,14,2300
[0x140002a09e0 0x140002a1100 0x140002a12e0],chaotic evil,[0x140002a0220],4,5,[0x140002a0580],16,[poison],[],[],,10,,11d10,93,11d10+33,,chuul,5,understands Deep Speech but can't speak,,Chuul,[0x140002a03a0],2,,&{[darkvision passive_perception] map[darkvision:60 ft. passive_perception:14]},Large,[0x140002a07a0 0x140002a0900],&{[walk swim] map[swim:30 ft. walk:30 ft.]},19,,aberration,/api/monsters/chuul,11,1100
[0x14000312020 0x140003120c0 0x140003121c0],unaligned,[0x140002a14e0],9,1,[0x140002a1600 0x140002a1680 0x140002a1760 0x140002a17e0 0x140002a1860 0x140002a1920],18,"[acid poison psychic bludgeoning, piercing, and slashing from nonmagical weapons that aren't adamantine]",[],[],,9,,14d10,133,14d10+56,/api/images/monsters/clay-golem.png,clay-golem,3,understands the languages of its creator but can't speak,,Clay Golem,[],4,,&{[darkvision passive_perception] map[darkvision:60 ft. passive_perception:9]},Large,[0x140002a1ae0 0x140002a1ba0 0x140002a1d20 0x140002a1e80 0x140002a1f40],&{[walk] map[walk:20 ft.]},20,,construct,/api/monsters/clay-golem,8,5000
[0x140003124c0 0x140003125c0 0x140003126c0 0x14000312780 0x14000312840],chaotic neutral,[0x14000312280],8,14,[],12,[],[],[],,15,,12d10,78,12d10+12,,cloaker,13,"Deep Speech, Undercommon",,Cloaker,[0x14000312320],3,,&{[darkvision passive_perception] map[darkvision:60 ft. passive_perception:11]},Large,[0x140003123e0 0x14000312420 0x14000312480],&{[walk fly] map[fly:40 ft. walk:10 ft.]},17,,aberration,/api/monsters/cloaker,12,3900
[0x14000313300 0x140003133a0 0x14000313480],neutral good (50%) or neutral evil (50%),[0x14000312920],9,16,[],22,[],[],[],,10,,16d12,200,16d12+96,,cloud-giant,12,"Common, Giant",,Cloud Giant,[0x14000312980 0x14000312a00 0x14000312aa0 0x14000312b20 0x14000312ba0],4,,&{[passive_perception] map[passive_perception:17]},Huge,[0x14000312c40 0x14000312c80],&{[walk] map[walk:40 ft.]},27,,giant,/api/monsters/cloud-giant,16,5000
[0x14000313640],unaligned,[0x14000313580],0.500000,5,[],12,[],[],[],,12,,6d6,27,6d6+6,/api/images/monsters/cockatrice.png,cockatrice,2,,,Cockatrice,[],2,,&{[darkvision passive_perception] map[darkvision:60 ft. passive_perception:11]},Small,,&{[walk fly] map[fly:40 ft. walk:20 ft.]},6,,monstrosity,/api/monsters/cockatrice,13,100
[0x140003137c0],any alignment,[0x14000313740],0,10,[],10,[],[],[],"Commoners include peasants, serfs, slaves, servants, pilgrims, merchants, artisans, and hermits.",10,,1d8,4,1d8,/api/images/monsters/commoner.png,commoner,10,any one language (usually Common),,Commoner,[],2,,&{[passive_perception] map[passive_perception:10]},Medium,,&{[walk] map[walk:30 ft.]},10,any race,humanoid,/api/monsters/commoner,10,10
[0x140003139c0 0x14000313a80],unaligned,[0x140003138e0],0.250000,3,[],12,[],[],[],,14,,2d10,13,2d10+2,/api/images/monsters/constrictor-snake.png,constrictor-snake,1,,,Constrictor Snake,[],2,,&{[blindsight passive_perception] map[blindsight:10 ft. passive_perception:10]},Large,,&{[walk swim] map[swim:30 ft. walk:30 ft.]},15,,beast,/api/monsters/constrictor-snake,10,50
[0x14000328120 0x14000328200],chaotic good,[0x14000313be0],1,13,[],13,[acid],[],[],,12,,4d8,22,4d8+4,,copper-dragon-wyrmling,14,Draconic,,Copper Dragon Wyrmling,[0x14000313c80 0x14000313d20 0x14000313de0 0x14000313e80 0x14000313f00 0x14000328020],2,,&{[blindsight darkvision passive_perception] map[blindsight:10 ft. darkvision:60 ft. passive_perception:14]},Medium,,&{[walk climb fly] map[climb:30 ft. fly:60 ft. walk:30 ft.]},15,,dragon,/api/monsters/copper-dragon-wyrmling,11,200
[0x14000329100 0x140003291e0 0x140003292c0],lawful good,[0x140003285e0],4,18,[],17,"[psychic bludgeoning, piercing, and slashing from nonmagical weapons]",[radiant],[],,20,,13d8,97,13d8+39,,couatl,18,"all, telepathy 120 ft.",,Couatl,[0x14000328660 0x140003286e0 0x140003287a0],2,,&{[truesight passive_perception] map[passive_perception:15 truesight:120 ft.]},Medium,[0x14000328880 0x14000329060 0x140003290c0],&{[walk fly] map[fly:90 ft. walk:30 ft.]},16,,celestial,/api/monsters/couatl,20,1100
[0x14000329500],unaligned,[0x14000329360],0,2,[],10,[],[],[],,11,,1d4,2,1d4,,crab,1,,,Crab,[0x140003293e0],2,,&{[blindsight passive_perception] map[blindsight:30 ft. passive_perception:9]},Tiny,[0x140003294c0],&{[walk swim] map[swim:20 ft. walk:20 ft.]},2,,beast,/api/monsters/crab,8,10
[0x140003297c0],unaligned,[0x14000329600],0.500000,5,[],13,[],[],[],,10,,3d10,19,3d10+3,/api/images/monsters/crocodile.png,crocodile,2,,,Crocodile,[0x140003296a0],2,,&{[passive_perception] map[passive_perception:10]},Large,[0x14000329780],&{[walk swim] map[swim:20 ft. walk:20 ft.]},15,,beast,/api/monsters/crocodile,10,100
[0x14000348000 0x140003480a0],any non-good alignment,[0x14000329900],2,14,[],12,[],[],[],"Fanatics are often part of a cult’s leadership, using their charisma and dogma to influence and prey on those of weak will. Most are interested in personal power above all else.",14,,6d8,22,6d8-5,,cult-fanatic,10,any one language (usually Common),,Cult Fanatic,[0x140003299a0 0x14000329a20 0x14000329ae0],2,,&{[passive_perception] map[passive_perception:11]},Medium,[0x14000329b80 0x14000329bc0],&{[walk] map[walk:30 ft.]},11,any race,humanoid,/api/monsters/cult-fanatic,13,450
[0x14000348420],any non-good alignment,[0x140003481e0],0.125000,10,[],10,[],[],[],"Cultists swear allegiance to dark powers such as elemental princes, demon lords, or archdevils. Most conceal their loyalties to avoid being ostracized, imprisoned, or executed for their beliefs. Unlike evil acolytes, cultists often show signs of insanity in their beliefs and practices.",12,,2d8,9,2d8,,cultist,10,any one language (usually Common),,Cultist,[0x140003482a0 0x14000348320],2,,&{[passive_perception] map[passive_perception:10]},Medium,[0x140003483e0],&{[walk] map[walk:30 ft.]},11,any race,humanoid,/api/monsters/cultist,11,25
[0x14000348740 0x14000348840],unaligned,[0x14000348540],0.500000,5,[],13,[],[],[],,12,,5d6,22,5d6+5,,darkmantle,2,,,Darkmantle,[0x140003485c0],2,,&{[blindsight passive_perception] map[blindsight:60 ft. passive_perception:10]},Small,[0x140003486a0 0x140003486e0],&{[walk fly] map[fly:30 ft. walk:10 ft.]},16,,monstrosity,/api/monsters/darkmantle,10,100
[0x14000348b80 0x14000348c20],neutral evil,[0x14000348920],1,6,[],14,[],[],[],"A death dog is an ugly two-headed hound that roams plains, and deserts. Hate burns in a death dog’s heart, and a taste for humanoid flesh drives it to attack travelers and explorers. Death dog saliva carries a foul disease that causes a victim’s flesh to slowly rot off the bone.",14,,6d8,39,6d8+12,,death-dog,3,,,Death Dog,[0x140003489a0 0x14000348a40],2,,&{[darkvision passive_perception] map[darkvision:120 ft. passive_perception:15]},Medium,[0x14000348b40],&{[walk] map[walk:40 ft.]},15,,monstrosity,/api/monsters/death-dog,13,200
[0x140003493e0 0x140003494c0],neutral good,[0x14000348d60],0.500000,9,[],14,[],[],[],,14,,3d6,16,3d6+6,,deep-gnome-svirfneblin,12,"Gnomish, Terran, Undercommon",,Deep Gnome (Svirfneblin),[0x14000348e00 0x14000348e80 0x14000348f40],2,,&{[darkvision passive_perception] map[darkvision:120 ft. passive_perception:12]},Small,[0x14000349000 0x14000349040 0x140003490a0],&{[walk] map[walk:20 ft.]},15,gnome,humanoid,/api/monsters/deep-gnome-svirfneblin,10,50
[0x14000349680],unaligned,[0x140003495e0],0,5,[],11,[],[],[],,16,,1d8,4,1d8,,deer,2,,,Deer,[],2,,&{[passive_perception] map[passive_perception:12]},Medium,,&{[walk] map[walk:50 ft.]},11,,beast,/api/monsters/deer,14,10
[0x14000349ee0 0x14000349f60 0x140003661a0 0x14000366220],lawful good,[0x140003497a0],10,20,[0x14000349a60 0x14000349aa0 0x14000349b00],18,[],"[radiant bludgeoning, piercing, and slashing from nonmagical weapons]",[],,18,,16d8,136,16d8+64,,deva,17,"all, telepathy 120 ft.",,Deva,[0x14000349820 0x140003498a0 0x14000349940 0x140003499c0],4,,&{[darkvision passive_perception] map[darkvision:120 ft. passive_perception:19]},Medium,[0x14000349b80 0x14000349bc0 0x14000349e80],&{[walk fly] map[fly:90 ft. walk:30 ft.]},18,,celestial,/api/monsters/deva,20,5900
[0x14000366520],unaligned,[0x140003662c0],1,7,[],15,[],[],[],,15,,5d10,37,5d10+10,,dire-wolf,3,,,Dire Wolf,[0x14000366320 0x140003663a0],2,,&{[passive_perception] map[passive_perception:13]},Large,[0x14000366460 0x140003664c0],&{[walk] map[walk:50 ft.]},17,,beast,/api/monsters/dire-wolf,12,200
[0x14000367180 0x14000367200 0x140003674e0],chaotic good,[0x14000366640],11,20,[],22,[lightning thunder],[],[],,15,,14d10,161,14d10+84,,djinni,15,Auran,,Djinni,[0x140003666c0 0x14000366760 0x14000366820],4,,&{[darkvision passive_perception] map[darkvision:120 ft. passive_perception:13]},Large,[0x14000366940 0x14000366980],&{[walk fly] map[fly:90 ft. walk:30 ft.]},21,,elemental,/api/monsters/djinni,16,7200
[0x14000367940 0x140003679e0 0x14000367ae0],unaligned,[0x14000367600],3,14,[0x140003677c0],14,[],[],[],,18,,8d8,52,8d8+16,,doppelganger,11,Common,,Doppelganger,[0x14000367660 0x14000367700],2,,&{[darkvision passive_perception] map[darkvision:60 ft. passive_perception:11]},Medium,[0x14000367840 0x14000367880 0x14000367900],&{[walk] map[walk:30 ft.]},11,shapechanger,monstrosity,/api/monsters/doppelganger,12,700
[0x14000367c00],unaligned,[0x14000367b60],0.250000,7,[],12,[],[],[],,10,,3d10,19,3d10+3,,draft-horse,2,,,Draft Horse,[],2,,&{[passive_perception] map[passive_perception:10]},Large,,&{[walk] map[walk:40 ft.]},18,,beast,/api/monsters/draft-horse,11,50
[0x1400038e060 0x1400038e320 0x1400038e400 0x1400038e4c0 0x1400038e5a0],neutral,[0x14000367d20],17,12,[],20,[],[fire],[],,10,,22d20,341,22d20+110,,dragon-turtle,10,"Aquan, Draconic",,Dragon Turtle,[0x14000367da0 0x14000367e20 0x14000367ee0],6,,&{[darkvision passive_perception] map[darkvision:120 ft. passive_perception:11]},Gargantuan,[0x1400038e020],&{[walk swim] map[swim:40 ft. walk:20 ft.]},25,,dragon,/api/monsters/dragon-turtle,12,18000
[0x1400038e8e0 0x1400038e9c0 0x1400038eac0 0x1400038eba0],chaotic evil,[0x1400038e7a0],0.250000,3,[0x1400038e840],12,[poison],[cold fire lightning],[],,11,,4d6,18,4d6+4,,dretch,5,"Abyssal, telepathy 60 ft. (works only with creatures that understand Abyssal)",,Dretch,[],2,,&{[darkvision passive_perception] map[darkvision:60 ft. passive_perception:9]},Small,,&{[walk] map[walk:20 ft.]},11,demon,fiend,/api/monsters/dretch,8,25
[0x1400038f380 0x1400038f6e0 0x1400038f880 0x1400038fa60],chaotic evil,[0x1400038ed20],6,12,[],18,[],[],[],,16,,13d10,123,13d10+52,,drider,13,"Elvish, Undercommon",,Drider,[0x1400038edc0 0x1400038ee40],3,,&{[darkvision passive_perception] map[darkvision:120 ft. passive_perception:15]},Large,[0x1400038ef60 0x1400038efa0 0x1400038f2a0 0x1400038f2e0 0x1400038f320],&{[walk climb] map[climb:30 ft. walk:30 ft.]},16,,monstrosity,/api/monsters/drider,14,2300
[0x140003aa260 0x140003aa320],neutral evil,[0x1400038fc60],0.250000,12,[],10,[],[],[],,14,,3d8,13,3d8,,drow,11,"Elvish, Undercommon",,Drow,[0x1400038fd20 0x1400038fda0],2,,&{[darkvision passive_perception] map[darkvision:120 ft. passive_perception:12]},Medium,[0x1400038fea0 0x1400038fee0 0x140003aa220],&{[walk] map[walk:30 ft.]},10,elf,humanoid,/api/monsters/drow,11,50
[0x140003aab20],any alignment,[0x140003aa440 0x140003aa480],2,11,[],13,[],[],[],"**Druids** dwell in forests and other secluded wilderness locations, where they protect the natural world from monsters and the encroachment of civilization. Some are **tribal shamans** who heal the sick, pray to animal spirits, and provide spiritual guidance.",12,,5d8,27,5d8+5,,druid,12,Druidic plus any two languages,,Druid,[0x140003aa540 0x140003aa5c0 0x140003aa680],2,,&{[passive_perception] map[passive_perception:14]},Medium,[0x140003aa720],&{[walk] map[walk:30 ft.]},10,any race,humanoid,/api/monsters/druid,15,450
[0x140003ab6a0 0x140003ab760],neutral,[0x140003aae20 0x140003aae60],1,18,[],11,[],[],[],,12,,5d8,22,5d8,/api/images/monsters/dryad.png,dryad,14,"Elvish, Sylvan",,Dryad,[0x140003aaf60 0x140003aafe0],2,,&{[darkvision passive_perception] map[darkvision:60 ft. passive_perception:14]},Medium,[0x140003ab0e0 0x140003ab580 0x140003ab5e0 0x140003ab660],&{[walk] map[walk:30 ft.]},10,,fey,/api/monsters/dryad,15,200
[0x140003abba0 0x140003abc60 0x140003abd40 0x140003abe00],lawful evil,[0x140003ab9c0],1,9,[],14,[],[poison],[],,11,,4d8,26,4d8+8,,duergar,11,"Dwarvish, Undercommon",,Duergar,[],2,,&{[darkvision passive_perception] map[darkvision:120 ft. passive_perception:10]},Medium,[0x140003abb00 0x140003abb40],&{[walk] map[walk:25 ft.]},14,dwarf,humanoid,/api/monsters/duergar,10,200
[0x1400040c3e0 0x1400040c4a0],neutral evil,[0x140003abee0],0.500000,10,[0x1400040c100],10,[poison],[],[fire],,14,,5d6,17,5d6,,dust-mephit,9,"Auran, Terran",,Dust Mephit,[0x140003abf60 0x1400040c060],2,,&{[darkvision passive_perception] map[darkvision:60 ft. passive_perception:12]},Small,[0x1400040c180 0x1400040c260],&{[walk fly] map[fly:30 ft. walk:30 ft.]},5,,elemental,/api/monsters/dust-mephit,11,100
[0x1400040c780],unaligned,[0x1400040c600],0,7,[],10,[],[],[],,15,,1d6,3,1d6,,eagle,2,,,Eagle,[0x1400040c6a0],2,,&{[passive_perception] map[passive_perception:14]},Small,[0x1400040c740],&{[walk fly] map[fly:60 ft. walk:10 ft.]},6,,beast,/api/monsters/eagle,14,10
[0x1400040cb60 0x1400040cbe0],neutral,[0x1400040c880],5,5,[0x1400040c900 0x1400040c940 0x1400040c9a0 0x1400040c9e0 0x1400040ca20],20,[poison],"[bludgeoning, piercing, and slashing from nonmagical weapons]",[thunder],,8,,12d10,126,12d10+60,/api/images/monsters/earth-elemental.png,earth-elemental,5,Terran,,Earth Elemental,[],3,,&{[darkvision tremorsense passive_perception] map[darkvision:60 ft. passive_perception:10 tremorsense:60 ft.]},Large,[0x1400040caa0 0x1400040cb00],&{[walk burrow] map[burrow:30 ft. walk:30 ft.]},20,,elemental,/api/monsters/earth-elemental,10,1800
[0x1400040d540 0x1400040d6a0 0x1400040d820],lawful evil,[0x1400040cd00],11,16,[],24,[fire],[],[],,12,,16d10,200,16d10+112,,efreeti,16,Ignan,,Efreeti,[0x1400040cd80 0x1400040ce00 0x1400040cea0],4,,&{[darkvision passive_perception] map[darkvision:120 ft. passive_perception:12]},Large,[0x1400040cf60 0x1400040cfa0],&{[walk fly] map[fly:60 ft. walk:40 ft.]},22,,elemental,/api/monsters/efreeti,15,7200
[0x1400040d9e0 0x1400040daa0],unaligned,[0x1400040d920],4,6,[],17,[],[],[],,9,,8d12,76,8d12+24,,elephant,3,,,Elephant,[],2,,&{[passive_perception] map[passive_perception:10]},Huge,[0x1400040d9a0],&{[walk] map[walk:40 ft.]},22,,beast,/api/monsters/elephant,11,1100
[0x1400040dc80 0x1400040dd40],unaligned,[0x1400040dbc0],0.250000,6,[],12,[],[],[],,10,,2d10,13,2d10+2,,elk,2,,,Elk,[],2,,&{[passive_perception] map[passive_perception:10]},Large,[0x1400040dc40],&{[walk] map[walk:50 ft.]},16,,beast,/api/monsters/elk,10,50
[0x14000424320 0x14000424640 0x14000424900],lawful evil,[0x1400040de60],12,18,[0x14000424200],18,[fire poison],"[cold bludgeoning, piercing, and slashing from nonmagical weapons that aren't silvered]",[],,16,,18d8,153,18d8+72,,erinyes,14,"Infernal, telepathy 120 ft.",,Erinyes,[0x1400040df20 0x14000424020 0x140004240c0 0x14000424140],4,[0x14000424a60],&{[truesight passive_perception] map[passive_perception:12 truesight:120 ft.]},Medium,[0x14000424280 0x140004242c0],&{[walk fly] map[fly:60 ft. walk:30 ft.]},18,devil,fiend,/api/monsters/erinyes,14,8400
[0x14000424e20 0x14000424f00 0x14000425080 0x14000425140],neutral evil,[0x14000424ae0],2,8,[],13,[],[],[],,15,,8d8,44,8d8+8,,ettercap,7,,,Ettercap,[0x14000424b60 0x14000424be0 0x14000424c80],2,,&{[darkvision passive_perception] map[darkvision:60 ft. passive_perception:13]},Medium,[0x14000424d40 0x14000424d80 0x14000424de0],&{[walk climb] map[climb:30 ft. walk:30 ft.]},14,,monstrosity,/api/monsters/ettercap,12,450
[0x140004253c0 0x140004254a0 0x14000425580],chaotic evil,[0x14000425200],4,8,[],17,[],[],[],,8,,10d10,85,10d10+30,,ettin,6,"Giant, Orc",,Ettin,[0x14000425260],2,,&{[darkvision passive_perception] map[darkvision:60 ft. passive_perception:14]},Large,[0x14000425320 0x14000425360],&{[walk] map[walk:40 ft.]},21,,giant,/api/monsters/ettin,10,1100
[0x14000425ac0 0x14000425b40],neutral,[0x14000425680],5,7,[0x14000425700 0x14000425740 0x140004257a0 0x140004257e0 0x14000425820 0x14000425860 0x140004258a0 0x140004258e0],16,[fire poison],"[bludgeoning, piercing, and slashing from nonmagical weapons]",[],,17,,12d10,102,12d10+36,,fire-elemental,6,Ignan,,Fire Elemental,[],3,,&{[darkvision passive_perception] map[darkvision:60 ft. passive_perception:10]},Large,[0x14000425960 0x14000425a20 0x14000425a80],&{[walk] map[walk:50 ft.]},10,,elemental,/api/monsters/fire-elemental,10,1800
